,precip,temp_max,temp_min,target_tmax,month_max,temp_range,month_day_max,monthly_avg,day_of_year_avg
2004-03-10 00:00:00,0.0,86.0,52.0,76.0,61.86666666666667,1.6538461538461537,0.7193798449612403,61.23348519362187,60.793103448275865
2004-03-11 00:00:00,0.0,76.0,47.0,70.0,62.43333333333333,1.6170212765957446,0.8214912280701754,61.25028441410694,60.06896551724138
2004-03-12 00:00:00,0.0,70.0,48.0,75.0,62.733333333333334,1.4583333333333333,0.8961904761904762,61.26022727272727,60.48275862068966
2004-03-13 00:00:00,0.0,75.0,47.0,77.0,63.2,1.5957446808510638,0.8426666666666667,61.27582292849035,60.724137931034484
2004-03-14 00:00:00,0.0,77.0,48.0,83.0,63.766666666666666,1.6041666666666667,0.8281385281385282,61.29365079365079,60.689655172413794
2004-03-15 00:00:00,0.0,83.0,49.0,83.0,64.53333333333333,1.6938775510204083,0.7775100401606425,61.31823329558324,61.44827586206897
2004-03-16 00:00:00,0.0,83.0,52.0,81.0,65.23333333333333,1.5961538461538463,0.7859437751004016,61.34276018099548,63.58620689655172
2004-03-17 00:00:00,0.0,81.0,51.0,79.0,65.96666666666667,1.588235294117647,0.81440329218107,61.364971751412426,63.689655172413794
2004-03-18 00:00:00,0.0,79.0,50.0,68.0,66.5,1.58,0.8417721518987342,61.38487584650113,64.34482758620689
2004-03-19 00:00:00,0.0,68.0,47.0,78.0,66.76666666666667,1.446808510638298,0.9818627450980392,61.392333709131904,64.20689655172414
2004-03-20 00:00:00,0.0,78.0,45.0,64.0,67.53333333333333,1.7333333333333334,0.8658119658119657,61.41103603603604,62.6551724137931
2004-03-21 00:00:00,0.0,64.0,54.0,60.0,67.8,1.1851851851851851,1.059375,61.41394825646794,62.06896551724138
2004-03-22 00:00:00,0.0,60.0,52.0,63.0,67.96666666666667,1.1538461538461537,1.1327777777777779,61.412359550561796,61.758620689655174
2004-03-23 00:00:00,0.0,63.0,52.0,65.0,68.16666666666667,1.2115384615384615,1.082010582010582,61.41414141414141,61.241379310344826
2004-03-24 00:00:00,0.0,65.0,53.0,62.0,68.3,1.2264150943396226,1.0507692307692307,61.41816143497758,61.86206896551724
2004-03-25 00:00:00,0.41,62.0,48.0,60.0,68.4,1.2916666666666667,1.103225806451613,61.41881298992161,62.03448275862069
2004-03-26 00:00:00,0.0,60.0,41.0,65.0,68.4,1.4634146341463414,1.1400000000000001,61.417225950783,62.37931034482759
2004-03-27 00:00:00,0.0,65.0,50.0,78.0,68.7,1.3,1.056923076923077,61.42122905027933,62.827586206896555
2004-03-28 00:00:00,0.0,78.0,45.0,68.0,69.43333333333334,1.7333333333333334,0.8901709401709402,61.439732142857146,64.03448275862068
2004-03-29 00:00:00,0.0,68.0,49.0,61.0,69.76666666666667,1.3877551020408163,1.0259803921568627,61.44704570791527,64.0
2004-03-30 00:00:00,0.0,61.0,49.0,62.0,69.93333333333334,1.2448979591836735,1.146448087431694,61.44654788418708,63.48275862068966
2004-03-31 00:00:00,0.0,62.0,45.0,73.0,70.13333333333334,1.3777777777777778,1.1311827956989249,61.44716351501668,61.758620689655174
2004-04-01 00:00:00,0.0,73.0,42.0,73.0,70.26666666666667,1.7380952380952381,0.9625570776255707,63.44708680142687,64.06896551724138
2004-04-02 00:00:00,0.0,73.0,52.0,66.0,70.73333333333333,1.4038461538461537,0.9689497716894977,63.458432304038006,65.17241379310344
2004-04-03 00:00:00,0.0,66.0,45.0,57.0,70.86666666666666,1.4666666666666666,1.0737373737373737,63.46144721233689,64.55172413793103
2004-04-04 00:00:00,0.0,57.0,51.0,60.0,70.76666666666667,1.1176470588235294,1.2415204678362572,63.453791469194314,61.827586206896555
2004-04-05 00:00:00,0.0,60.0,50.0,62.0,70.63333333333334,1.2,1.1772222222222224,63.44970414201183,61.55172413793103
2004-04-06 00:00:00,0.0,62.0,49.0,65.0,70.3,1.2653061224489797,1.1338709677419354,63.44799054373522,62.48275862068966
2004-04-07 00:00:00,0.0,65.0,46.0,63.0,69.93333333333334,1.4130434782608696,1.075897435897436,63.44982290436836,63.689655172413794
2004-04-08 00:00:00,0.0,63.0,51.0,72.0,69.43333333333334,1.2352941176470589,1.1021164021164023,63.449292452830186,62.06896551724138
2004-04-09 00:00:00,0.0,72.0,50.0,71.0,68.96666666666667,1.44,0.9578703703703704,63.459363957597176,63.10344827586207
2004-04-10 00:00:00,0.0,71.0,48.0,61.0,68.8,1.4791666666666667,0.9690140845070422,63.46823529411765,63.827586206896555
2004-04-11 00:00:00,0.0,61.0,49.0,61.0,68.5,1.2448979591836735,1.1229508196721312,63.46533490011751,65.17241379310344
2004-04-12 00:00:00,0.0,61.0,52.0,63.0,68.03333333333333,1.1730769230769231,1.1153005464480874,63.46244131455399,64.79310344827586
2004-04-13 00:00:00,0.0,63.0,50.0,64.0,67.56666666666666,1.26,1.0724867724867724,63.46189917936694,64.79310344827586
2004-04-14 00:00:00,0.0,64.0,52.0,60.0,66.93333333333334,1.2307692307692308,1.0458333333333334,63.46252927400469,63.93103448275862
2004-04-15 00:00:00,0.0,60.0,47.0,62.0,66.16666666666667,1.2765957446808511,1.1027777777777779,63.45847953216374,62.758620689655174
2004-04-16 00:00:00,0.0,62.0,47.0,62.0,65.53333333333333,1.3191489361702127,1.0569892473118279,63.45677570093458,61.86206896551724
2004-04-17 00:00:00,0.0,62.0,50.0,59.0,64.96666666666667,1.24,1.0478494623655914,63.45507584597433,61.48275862068966
2004-04-18 00:00:00,0.01,59.0,49.0,65.0,64.66666666666667,1.2040816326530612,1.096045197740113,63.44988344988345,63.241379310344826
2004-04-19 00:00:00,0.0,65.0,51.0,65.0,64.23333333333333,1.2745098039215685,0.9882051282051282,63.45168800931315,62.793103448275865
2004-04-20 00:00:00,0.0,65.0,56.0,65.0,64.26666666666667,1.1607142857142858,0.9887179487179487,63.45348837209303,62.96551724137931
2004-04-21 00:00:00,0.0,65.0,47.0,79.0,64.43333333333334,1.3829787234042554,0.9912820512820514,63.45528455284553,63.827586206896555
2004-04-22 00:00:00,0.0,79.0,44.0,78.0,64.96666666666667,1.7954545454545454,0.8223628691983123,63.47331786542924,64.62068965517241
2004-04-23 00:00:00,0.0,78.0,47.0,82.0,65.4,1.6595744680851063,0.8384615384615385,63.4901506373117,63.96551724137931
2004-04-24 00:00:00,0.0,82.0,50.0,86.0,66.06666666666666,1.64,0.8056910569105691,63.511574074074076,64.03448275862068
2004-04-25 00:00:00,0.0,86.0,52.0,88.0,66.93333333333334,1.6538461538461537,0.7782945736434109,63.53757225433526,64.10344827586206
2004-04-26 00:00:00,0.0,88.0,54.0,88.0,67.7,1.6296296296296295,0.7693181818181819,63.56581986143187,65.55172413793103
2004-04-27 00:00:00,0.0,88.0,55.0,71.0,68.03333333333333,1.6,0.7731060606060606,63.59400230680507,65.65517241379311
2004-04-28 00:00:00,0.0,71.0,51.0,79.0,68.13333333333334,1.392156862745098,0.95962441314554,63.60253456221198,63.689655172413794
2004-04-29 00:00:00,0.0,79.0,54.0,68.0,68.73333333333333,1.462962962962963,0.870042194092827,63.620253164556964,63.96551724137931
2004-04-30 00:00:00,0.0,68.0,52.0,75.0,68.93333333333334,1.3076923076923077,1.0137254901960784,63.62528735632184,65.03448275862068
2004-05-01 00:00:00,0.0,75.0,51.0,85.0,69.0,1.4705882352941178,0.92,66.42002301495972,65.93103448275862
2004-05-02 00:00:00,0.0,85.0,51.0,72.0,69.4,1.6666666666666667,0.8164705882352942,66.44137931034483,65.37931034482759
2004-05-03 00:00:00,0.0,72.0,51.0,67.0,69.6,1.411764705882353,0.9666666666666666,66.44776119402985,63.6551724137931
2004-05-04 00:00:00,0.0,67.0,50.0,66.0,69.93333333333334,1.34,1.0437810945273633,66.44839449541284,64.48275862068965
2004-05-05 00:00:00,0.0,66.0,52.0,67.0,70.13333333333334,1.2692307692307692,1.0626262626262628,66.44788087056128,64.48275862068965
2004-05-06 00:00:00,0.0,67.0,53.0,70.0,70.3,1.2641509433962264,1.0492537313432835,66.44851258581235,66.3103448275862
2004-05-07 00:00:00,0.0,70.0,56.0,69.0,70.46666666666667,1.25,1.0066666666666666,66.45257142857143,65.82758620689656
2004-05-08 00:00:00,0.0,69.0,52.0,70.0,70.66666666666667,1.3269230769230769,1.0241545893719808,66.45547945205479,64.62068965517241
2004-05-09 00:00:00,0.0,70.0,49.0,67.0,70.6,1.4285714285714286,1.0085714285714285,66.45952109464082,65.34482758620689
2004-05-10 00:00:00,0.0,67.0,53.0,66.0,70.46666666666667,1.2641509433962264,1.0517412935323383,66.46013667425969,65.13793103448276
2004-05-11 00:00:00,0.0,66.0,50.0,69.0,70.63333333333334,1.32,1.0702020202020204,66.45961319681456,67.3103448275862
2004-05-12 00:00:00,0.0,69.0,47.0,67.0,70.9,1.4680851063829787,1.027536231884058,66.4625,66.89655172413794
2004-05-13 00:00:00,0.0,67.0,53.0,67.0,71.03333333333333,1.2641509433962264,1.0601990049751244,66.46311010215663,67.34482758620689
2004-05-14 00:00:00,0.0,67.0,50.0,66.0,71.13333333333334,1.34,1.0616915422885573,66.46371882086167,66.24137931034483
2004-05-15 00:00:00,0.0,66.0,51.0,67.0,71.33333333333333,1.2941176470588236,1.0808080808080807,66.46319365798415,68.10344827586206
2004-05-16 00:00:00,0.0,67.0,49.0,66.0,71.5,1.3673469387755102,1.0671641791044777,66.46380090497738,68.44827586206897
